elapsed,root_pid,client_java_pid,root_rss_kb,client_rss_kb,client_log_mtime,server_joined
0,43774,,2484,0,1778011855,0
1,43774,,72128,0,1778011855,0
2,43774,,73240,0,1778011855,0
3,43774,,73468,0,1778011855,0
4,43774,,73880,0,1778011855,0
5,43774,,74176,0,1778011855,0
6,43774,,74500,0,1778011855,0
8,43774,44257,319300,243568,1778011855,0
9,43774,44257,1264760,1195104,1778012051,0
10,43774,44257,2173664,2075480,1778012053,0
11,43774,44257,2404540,2306336,1778012053,0
12,43774,44257,4085052,3986664,1778012053,0
13,43774,44257,4089504,3991140,1778012053,0
14,43774,44257,4131060,4034660,1778012057,0
15,43774,44257,4145576,4047188,1778012058,0
16,43774,44257,4177848,4079968,1778012059,0
17,43774,44257,3582048,3483996,1778012060,0
19,43774,44257,3634580,3536604,1778012062,0
20,43774,44257,3654076,3555688,1778012062,0
21,43774,44257,3667324,3568936,1778012063,0
22,43774,44257,3884588,3797668,1778012065,0
23,43774,44257,4324412,4309244,1778012066,0
24,43774,44257,7160960,7062744,1778012067,0
26,43774,44257,7212844,7114456,1778012068,0
27,43774,44257,7232316,7134360,1778012070,0
28,43774,44257,7262664,7165020,1778012071,0
29,43774,44257,7292708,7195024,1778012072,0
30,43774,44257,7334128,7236680,1778012073,0
31,43774,44257,7360556,7262620,1778012074,0
32,43774,44257,7394836,7312544,1778012075,0
34,43774,44257,7850788,7767308,1778012077,0
35,43774,44257,8422516,8324872,1778012078,0
36,43774,44257,8569348,8477304,1778012079,0
37,43774,44257,8704864,8614180,1778012080,0
38,43774,44257,8719796,8621468,1778012080,0
40,43774,44257,8736576,8638292,1778012083,0
41,43774,44257,8738508,8640180,1778012083,0
42,43774,44257,8739548,8641216,1778012085,0
43,43774,44257,8740028,8641696,1778012085,0
44,43774,44257,8748844,8650504,1778012086,0
45,43774,44257,9768356,9670048,1778012088,0
46,43774,44257,9876684,9801432,1778012089,0
47,43774,44257,10382228,10299240,1778012089,0
49,43774,44257,10721240,10624044,1778012092,0
50,43774,44257,10743828,10645532,1778012092,0
51,43774,44257,10789560,10692032,1778012094,1
