block_id	namespace	functional_categories	sources
acid_vat:acid_vat	acid_vat	processing_machines	acid_vat-0.1.0.jar
acid_vat:acid_vat_faucet	acid_vat	processing_machines	acid_vat-0.1.0.jar
acid_vat:centrifuge_anchor	acid_vat	processing_machines	acid_vat-0.1.0.jar
acid_vat:centrifuge_bearing	acid_vat	processing_machines	acid_vat-0.1.0.jar
acid_vat:centrifuge_chamber	acid_vat	processing_machines	acid_vat-0.1.0.jar
acid_vat:mechanical_slurry_pump	acid_vat	processing_machines,power_energy_fluids,create_kinetics_and_logistics	acid_vat-0.1.0.jar
acid_vat:portable_slurry_interface	acid_vat	crafting_workstations,storage_item_io	acid_vat-0.1.0.jar
acid_vat:slurry_tank	acid_vat	power_energy_fluids,storage_item_io	acid_vat-0.1.0.jar
acid_vat:slurry_valve	acid_vat	power_energy_fluids	acid_vat-0.1.0.jar
acid_vat:smart_slurry_pipe	acid_vat	power_energy_fluids	acid_vat-0.1.0.jar
advanced_ae:adv_pattern_provider	advanced_ae	crafting_workstations,storage_item_io,computers_networks	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:quantum_alloy_block	advanced_ae	processing_machines	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:quantum_alloy_slab	advanced_ae	processing_machines	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:quantum_alloy_stairs	advanced_ae	processing_machines	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:quantum_alloy_wall	advanced_ae	processing_machines	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:quantum_core	advanced_ae	processing_machines	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:quantum_crafter	advanced_ae	crafting_workstations,processing_machines,create_kinetics_and_logistics	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:reaction_chamber	advanced_ae	processing_machines	AdvancedAE-1.3.5-1.20.1.jar
advanced_ae:small_adv_pattern_provider	advanced_ae	crafting_workstations,storage_item_io,computers_networks	AdvancedAE-1.3.5-1.20.1.jar
ae2:16k_crafting_storage	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:1k_crafting_storage	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:256k_crafting_storage	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:4k_crafting_storage	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:64k_crafting_storage	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:cell_workbench	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:charger	ae2	processing_machines	appliedenergistics2-forge-15.4.10.jar
ae2:chest	ae2	storage_item_io	appliedenergistics2-forge-15.4.10.jar
ae2:controller	ae2	processing_machines,computers_networks	appliedenergistics2-forge-15.4.10.jar
ae2:crafting_accelerator	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:crafting_monitor	ae2	crafting_workstations,computers_networks	appliedenergistics2-forge-15.4.10.jar
ae2:crafting_unit	ae2	crafting_workstations	appliedenergistics2-forge-15.4.10.jar
ae2:creative_energy_cell	ae2	power_energy_fluids	appliedenergistics2-forge-15.4.10.jar
ae2:crystal_resonance_generator	ae2	power_energy_fluids	appliedenergistics2-forge-15.4.10.jar
ae2:debug_chunk_loader	ae2	storage_item_io	appliedenergistics2-forge-15.4.10.jar
ae2:debug_energy_gen	ae2	power_energy_fluids	appliedenergistics2-forge-15.4.10.jar
ae2:dense_energy_cell	ae2	power_energy_fluids	appliedenergistics2-forge-15.4.10.jar
ae2:energy_acceptor	ae2	power_energy_fluids	appliedenergistics2-forge-15.4.10.jar
ae2:energy_cell	ae2	power_energy_fluids	appliedenergistics2-forge-15.4.10.jar
ae2:inscriber	ae2	processing_machines	appliedenergistics2-forge-15.4.10.jar
ae2:interface	ae2	storage_item_io	appliedenergistics2-forge-15.4.10.jar
ae2:molecular_assembler	ae2	computers_networks	appliedenergistics2-forge-15.4.10.jar
ae2:pattern_provider	ae2	crafting_workstations,storage_item_io,computers_networks	appliedenergistics2-forge-15.4.10.jar
ae2:sky_stone_chest	ae2	storage_item_io	appliedenergistics2-forge-15.4.10.jar
ae2:sky_stone_tank	ae2	power_energy_fluids,storage_item_io	appliedenergistics2-forge-15.4.10.jar
ae2:smooth_sky_stone_chest	ae2	storage_item_io	appliedenergistics2-forge-15.4.10.jar
ae2:vibration_chamber	ae2	processing_machines	appliedenergistics2-forge-15.4.10.jar
ae2additions:1024k_crafting_storage	ae2additions	crafting_workstations	AEAdditions-1.20.1-5.1.1.jar
ae2additions:16384k_crafting_storage	ae2additions	crafting_workstations	AEAdditions-1.20.1-5.1.1.jar
ae2additions:4096k_crafting_storage	ae2additions	crafting_workstations	AEAdditions-1.20.1-5.1.1.jar
ae2additions:65536k_crafting_storage	ae2additions	crafting_workstations	AEAdditions-1.20.1-5.1.1.jar
aether:aether_farmland	aether	create_kinetics_and_logistics	aether-1.20.1-1.5.2-neoforge.jar
aether:altar	aether	magic_ritual	aether-1.20.1-1.5.2-neoforge.jar
aether:chest_mimic	aether	storage_item_io	aether-1.20.1-1.5.2-neoforge.jar
aether:freezer	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:holystone_pressure_plate	aether	processing_machines,create_kinetics_and_logistics	aether-1.20.1-1.5.2-neoforge.jar
aether:incubator	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:potted_berry_bush	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:potted_berry_bush_stem	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:potted_golden_oak_sapling	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:potted_purple_flower	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:potted_skyroot_sapling	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:potted_white_flower	aether	processing_machines	aether-1.20.1-1.5.2-neoforge.jar
aether:skyroot_bookshelf	aether	storage_item_io	aether-1.20.1-1.5.2-neoforge.jar
aether:skyroot_pressure_plate	aether	processing_machines,create_kinetics_and_logistics	aether-1.20.1-1.5.2-neoforge.jar
aether:sun_altar	aether	magic_ritual	aether-1.20.1-1.5.2-neoforge.jar
aether:treasure_chest	aether	storage_item_io	aether-1.20.1-1.5.2-neoforge.jar
aether:unstable_obsidian	aether	crafting_workstations	aether-1.20.1-1.5.2-neoforge.jar
alchemistry:combiner	alchemistry	storage_item_io	alchemistry-1.20.1-2.3.4.jar
alchemistry:fission_chamber_controller	alchemistry	processing_machines,computers_networks	alchemistry-1.20.1-2.3.4.jar
alchemistry:fission_core	alchemistry	processing_machines	alchemistry-1.20.1-2.3.4.jar
alchemistry:fusion_chamber_controller	alchemistry	processing_machines,computers_networks	alchemistry-1.20.1-2.3.4.jar
alchemistry:fusion_core	alchemistry	processing_machines	alchemistry-1.20.1-2.3.4.jar
alchemistry:reactor_casing	alchemistry	processing_machines,power_energy_fluids,create_kinetics_and_logistics	alchemistry-1.20.1-2.3.4.jar
alchemistry:reactor_energy	alchemistry	processing_machines,power_energy_fluids	alchemistry-1.20.1-2.3.4.jar
alchemistry:reactor_glass	alchemistry	processing_machines,power_energy_fluids	alchemistry-1.20.1-2.3.4.jar
alchemistry:reactor_input	alchemistry	processing_machines,power_energy_fluids	alchemistry-1.20.1-2.3.4.jar
alchemistry:reactor_output	alchemistry	processing_machines,power_energy_fluids	alchemistry-1.20.1-2.3.4.jar
alekiships:watercraft_frame_angled	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:watercraft_frame_flat	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/acacia	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/bamboo	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/birch	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/cherry	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/crimson	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/dark_oak	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/jungle	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/mangrove	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/oak	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/spruce	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/angled/warped	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/acacia	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/bamboo	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/birch	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/cherry	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/crimson	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/dark_oak	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/jungle	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/mangrove	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/oak	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/spruce	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
alekiships:wood/watercraft_frame/flat/warped	alekiships	crafting_workstations	alekiNiftyShips-FORGE-1.20.1-1.0.14.jar
amendments:cauldron_hack	amendments	processing_machines	amendments-1.20-2.2.5.jar
amendments:dye_cauldron	amendments	processing_machines	amendments-1.20-2.2.5.jar
amendments:hanging_flower_pot	amendments	processing_machines	amendments-1.20-2.2.5.jar
amendments:liquid_cauldron	amendments	processing_machines	amendments-1.20-2.2.5.jar
amendments:skull_candle_soul	amendments	magic_ritual	amendments-1.20-2.2.5.jar
amendments:skull_candle_soul_wall	amendments	magic_ritual	amendments-1.20-2.2.5.jar
apotheosis:augmenting_table	apotheosis	crafting_workstations	Apotheosis-1.20.1-7.4.8.jar
apotheosis:beeshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:blazing_hellshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:crystal_seashelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:deepshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:dormant_deepshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:draconic_endshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:echoing_deepshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:echoing_sculkshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:endshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:filtering_shelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:gem_cutting_table	apotheosis	crafting_workstations,processing_machines	Apotheosis-1.20.1-7.4.8.jar
apotheosis:glowing_hellshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:heart_seashelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:hellshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:infused_endshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:infused_hellshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:infused_seashelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:melonshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:pearl_endshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:prismatic_altar	apotheosis	magic_ritual	Apotheosis-1.20.1-7.4.8.jar
apotheosis:reforging_table	apotheosis	crafting_workstations	Apotheosis-1.20.1-7.4.8.jar
apotheosis:salvaging_table	apotheosis	crafting_workstations	Apotheosis-1.20.1-7.4.8.jar
apotheosis:seashelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:sightshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:sightshelf_t2	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:simple_reforging_table	apotheosis	crafting_workstations	Apotheosis-1.20.1-7.4.8.jar
apotheosis:soul_touched_deepshelf	apotheosis	storage_item_io,magic_ritual	Apotheosis-1.20.1-7.4.8.jar
apotheosis:soul_touched_sculkshelf	apotheosis	storage_item_io,magic_ritual	Apotheosis-1.20.1-7.4.8.jar
apotheosis:stoneshelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheosis:treasure_shelf	apotheosis	storage_item_io	Apotheosis-1.20.1-7.4.8.jar
apotheotic_additions:gilded_aerogel_skyshelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:hollowed_barrel_shelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:infused_skyshelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:infused_thornshelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:nuclear_barrel_shelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:occult_thornshelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:sacrificial_shelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:terra_shelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:thornshelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:timeworn_fancy	apotheotic_additions	processing_machines,create_kinetics_and_logistics	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:void_shelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
apotheotic_additions:wavebinders_shelf	apotheotic_additions	storage_item_io	ApotheoticAdditionsV2.2.2.jar
ars_nouveau:agronomic_sourcelink	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
ars_nouveau:alchemical_sourcelink	ars_nouveau	magic_ritual	ars_nouveau-1.20.1-4.12.7-all.jar
