potency	block_id	categories	namespace	sources
P5_core_progression_processors	ae2:controller	computers_networks	ae2	appliedenergistics2-forge-15.4.10.jar
P5_core_progression_processors	ae2:crafting_unit	unclassified_functional_keyword	ae2	appliedenergistics2-forge-15.4.10.jar
P5_core_progression_processors	ae2:inscriber	processing_machines	ae2	appliedenergistics2-forge-15.4.10.jar
P5_core_progression_processors	ae2:molecular_assembler	processing_machines	ae2	appliedenergistics2-forge-15.4.10.jar
P5_core_progression_processors	ae2:pattern_provider	crafting_workstations,storage_item_io	ae2	appliedenergistics2-forge-15.4.10.jar
P5_core_progression_processors	aether:incubator	processing_machines	aether	aether-1.20.1-1.5.2-neoforge.jar
P5_core_progression_processors	alchemistry:fission_chamber_controller	processing_machines,computers_networks	alchemistry	alchemistry-1.20.1-2.3.4.jar
P5_core_progression_processors	alchemistry:fusion_chamber_controller	processing_machines,computers_networks	alchemistry	alchemistry-1.20.1-2.3.4.jar
P5_core_progression_processors	alchemistry:reactor_casing	power_energy_fluids	alchemistry	alchemistry-1.20.1-2.3.4.jar
P5_core_progression_processors	alchemistry:reactor_energy	power_energy_fluids	alchemistry	alchemistry-1.20.1-2.3.4.jar
P5_core_progression_processors	alchemistry:reactor_glass	power_energy_fluids	alchemistry	alchemistry-1.20.1-2.3.4.jar
P5_core_progression_processors	alchemistry:reactor_input	power_energy_fluids	alchemistry	alchemistry-1.20.1-2.3.4.jar
P5_core_progression_processors	alchemistry:reactor_output	power_energy_fluids	alchemistry	alchemistry-1.20.1-2.3.4.jar
P5_core_progression_processors	ars_nouveau:arcane_core	magic_ritual	ars_nouveau	ars_nouveau-1.20.1-4.12.7-all.jar
P5_core_progression_processors	ars_nouveau:creative_source_jar	magic_ritual,storage_item_io	ars_nouveau	ars_nouveau-1.20.1-4.12.7-all.jar
P5_core_progression_processors	ars_nouveau:enchanting_apparatus	magic_ritual	ars_nouveau	ars_nouveau-1.20.1-4.12.7-all.jar
P5_core_progression_processors	ars_nouveau:imbuement_chamber	magic_ritual	ars_nouveau	ars_nouveau-1.20.1-4.12.7-all.jar
P5_core_progression_processors	ars_nouveau:source_jar	magic_ritual,storage_item_io	ars_nouveau	ars_nouveau-1.20.1-4.12.7-all.jar
P5_core_progression_processors	bloodmagic:dungeon_controller	magic_ritual,computers_networks	bloodmagic	bloodmagic-1.20.1-3.3.7-49.jar
P5_core_progression_processors	bloodmagic:soulforge	magic_ritual	bloodmagic	bloodmagic-1.20.1-3.3.7-49.jar
P5_core_progression_processors	blue_skies:alchemy_table	crafting_workstations,magic_ritual	blue_skies	blue_skies-1.20.1-1.3.31.jar
P5_core_progression_processors	chemlib:sulfuric_acid	processing_machines	chemlib	chemlib-1.20.1-2.0.19.jar
P5_core_progression_processors	create:crushing_wheel	create_kinetics_and_logistics	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:crushing_wheel_controller	create_kinetics_and_logistics,computers_networks	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:deployer	processing_machines,create_kinetics_and_logistics	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:lectern_controller	crafting_workstations,create_kinetics_and_logistics,computers_networks	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:mechanical_crafter	create_kinetics_and_logistics	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:mechanical_mixer	processing_machines,create_kinetics_and_logistics	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:mechanical_press	processing_machines,create_kinetics_and_logistics	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:rotation_speed_controller	create_kinetics_and_logistics,computers_networks	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create:sequenced_gearshift	create_kinetics_and_logistics	create	create-1.20.1-6.0.8.jar
P5_core_progression_processors	create_new_age:advanced_energiser	create_kinetics_and_logistics	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	create_new_age:basic_energiser	create_kinetics_and_logistics	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	create_new_age:reactor_casing	create_kinetics_and_logistics,power_energy_fluids	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	create_new_age:reactor_fuel_acceptor	create_kinetics_and_logistics,power_energy_fluids	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	create_new_age:reactor_glass	create_kinetics_and_logistics,power_energy_fluids	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	create_new_age:reactor_heat_vent	create_kinetics_and_logistics,power_energy_fluids	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	create_new_age:reactor_rod	create_kinetics_and_logistics,power_energy_fluids	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	create_new_age:reinforced_energiser	create_kinetics_and_logistics	create_new_age	create-new-age-1.1.7f+forge-mc1.20.1.jar
P5_core_progression_processors	createbigcannons:yaw_controller	create_kinetics_and_logistics,computers_networks	createbigcannons	createbigcannons-5.11.3-mc.1.20.1-forge.jar
P5_core_progression_processors	createdieselgenerators:distillation_tank	processing_machines,create_kinetics_and_logistics,power_energy_fluids	createdieselgenerators	createdieselgenerators-1.20.1-1.3.12.jar
P5_core_progression_processors	creatingspace:air_liquefier	processing_machines	creatingspace	creatingspace-1.20.1-1.7.13.jar
P5_core_progression_processors	fission_reactor:fission_reactor_rod	processing_machines,power_energy_fluids	fission_reactor	fission_reactor-0.1.0.jar
P5_core_progression_processors	iceandfire:dragonforge_fire_core	processing_machines	iceandfire	iceandfire-2.1.13-1.20.1-beta-5.jar
P5_core_progression_processors	iceandfire:dragonforge_fire_core_disabled	processing_machines	iceandfire	iceandfire-2.1.13-1.20.1-beta-5.jar
P5_core_progression_processors	iceandfire:dragonforge_ice_core	processing_machines	iceandfire	iceandfire-2.1.13-1.20.1-beta-5.jar
P5_core_progression_processors	iceandfire:dragonforge_ice_core_disabled	processing_machines	iceandfire	iceandfire-2.1.13-1.20.1-beta-5.jar
P5_core_progression_processors	iceandfire:dragonforge_lightning_core	processing_machines	iceandfire	iceandfire-2.1.13-1.20.1-beta-5.jar
P5_core_progression_processors	iceandfire:dragonforge_lightning_core_disabled	processing_machines	iceandfire	iceandfire-2.1.13-1.20.1-beta-5.jar
P5_core_progression_processors	pneumaticcraft:assembly_controller	processing_machines,computers_networks	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:assembly_platform	processing_machines	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:fluid_mixer	processing_machines,power_energy_fluids	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:pressure_chamber_glass	processing_machines	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:pressure_chamber_interface	processing_machines,storage_item_io	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:pressure_chamber_valve	processing_machines,power_energy_fluids	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:pressure_chamber_wall	processing_machines	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:programmable_controller	computers_networks	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:refinery	processing_machines	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	pneumaticcraft:refinery_output	processing_machines	pneumaticcraft	pneumaticcraft-repressurized-6.0.22+mc1.20.1.jar
P5_core_progression_processors	sophisticatedstorage:controller	storage_item_io,computers_networks	sophisticatedstorage	sophisticatedstorage-1.20.1-1.4.39.1666.jar
P5_core_progression_processors	tconstruct:foundry_controller	processing_machines,computers_networks	tconstruct	TConstruct-1.20.1-3.11.2.166.jar
P5_core_progression_processors	tconstruct:smeltery_controller	processing_machines,computers_networks	tconstruct	TConstruct-1.20.1-3.11.2.166.jar
P5_core_progression_processors	twilightforest:reactor_debris	power_energy_fluids	twilightforest	twilightforest-1.20.1-4.3.2508-universal.jar
P4_primary_machines_and_workstations	ae2:cell_workbench	crafting_workstations,storage_item_io	ae2	appliedenergistics2-forge-15.4.10.jar
P4_primary_machines_and_workstations	ae2:charger	processing_machines	ae2	appliedenergistics2-forge-15.4.10.jar
P4_primary_machines_and_workstations	ae2:vibration_chamber	unclassified_functional_keyword	ae2	appliedenergistics2-forge-15.4.10.jar
