cycle,start_ts,end_ts,status,status_reason,done_seconds,server_port,java_pid,exit_code,log_file
1,2026-05-04T00:44:17Z,2026-05-04T00:46:45Z,OK,ready_done,51.164,25566,725545,143,harness-logs/cycle-001.log
2,2026-05-04T00:46:45Z,2026-05-04T00:49:09Z,OK,ready_done,46.141,25567,726471,143,harness-logs/cycle-002.log
3,2026-05-04T00:49:09Z,2026-05-04T00:51:39Z,OK,ready_done,53.151,25568,727223,143,harness-logs/cycle-003.log
4,2026-05-04T00:51:39Z,2026-05-04T00:54:17Z,OK,ready_done,59.396,25569,728000,143,harness-logs/cycle-004.log
5,2026-05-04T00:54:17Z,2026-05-04T00:56:29Z,OK,ready_done,35.405,25570,728788,143,harness-logs/cycle-005.log
6,2026-05-04T00:56:29Z,2026-05-04T00:58:46Z,OK,ready_done,38.883,25571,730134,143,harness-logs/cycle-006.log
7,2026-05-04T00:58:46Z,2026-05-04T01:01:07Z,OK,ready_done,43.213,25572,731039,143,harness-logs/cycle-007.log
8,2026-05-04T01:01:07Z,2026-05-04T01:03:57Z,OK,ready_done,72.137,25573,731804,143,harness-logs/cycle-008.log
9,2026-05-04T01:03:57Z,2026-05-04T01:06:23Z,OK,ready_done,49.331,25574,732626,143,harness-logs/cycle-009.log
10,2026-05-04T01:06:23Z,2026-05-04T01:08:48Z,OK,ready_done,46.264,25575,733368,143,harness-logs/cycle-010.log
11,2026-05-04T01:08:48Z,2026-05-04T01:11:11Z,OK,ready_done,45.854,25576,734118,143,harness-logs/cycle-011.log
12,2026-05-04T01:11:11Z,2026-05-04T01:13:42Z,OK,ready_done,52.917,25577,735130,143,harness-logs/cycle-012.log
13,2026-05-04T01:13:42Z,2026-05-04T01:16:07Z,OK,ready_done,47.289,25578,735962,143,harness-logs/cycle-013.log
14,2026-05-04T01:16:07Z,2026-05-04T01:16:26Z,CRASH,launcher_process_exited,,25579,737249,143,harness-logs/cycle-014.log
15,2026-05-04T01:16:26Z,2026-05-04T01:23:31Z,TIMEOUT,timeout_waiting_for_done,,25580,737659,143,harness-logs/cycle-015.log
16,2026-05-04T01:23:31Z,2026-05-04T01:26:18Z,OK,ready_done,68.039,25581,739770,143,harness-logs/cycle-016.log
17,2026-05-04T01:26:18Z,2026-05-04T01:28:41Z,OK,ready_done,45.664,25582,741479,143,harness-logs/cycle-017.log
18,2026-05-04T01:28:41Z,2026-05-04T01:31:13Z,OK,ready_done,53.146,25583,742490,143,harness-logs/cycle-018.log
